CWE_RULE,Parentof,Childof,Enforced By,QAC MESSAGE,MISRA C:2012 / Coding Standard v6 Rules,CERT C,Comments
CWE-14,,733,QAC,2980,Rule-2.2,Not Mapped,Not Mapped
,,,QAC,2981,Rule-2.2,,
,,,QAC,2982,Rule-2.2,,
,,,QAC,2983,Rule-2.2,,
,,,QAC,3203,,,
,,,QAC,3229,,,
CWE-20,"1284,120,109,1286,1173,107,1289,104,15,190,622,129,134,113,470,1287,114,466,119,106,1288,105,170,103,112,102,108,179,1285,73,110,117,111,785",707,QAC,2956,Dir-4.14,"ERR07-C,FIO30-C,MEM10-C",
,,,QAC,2959,,,
CWE-78,,"77,74",CWECCM,,,"ENV03-C,ENV33-C,STR02-C",
CWE-88,,"77,74",CWECCM,,,"ENV03-C,ENV33-C,STR02-C",
CWE-119,"125,825,822,130,120,786,805,787,466,824,123,680,823,788","20,118",CWECCM,,,"ARR00-C,ARR30-C,ARR38-C,ENV01-C,EXP39-C,FIO37-C,STR31-C,STR32-C",
CWE-120,785,"119,20",QAC,2840,Rule-21.18|Rule-1.3|Rule-18.1,STR31-C,
,,,QAC,2841,Rule-21.18|Rule-18.1|Dir-4.1,,
,,,QAC,2842,Rule-21.18|Rule-18.1|Dir-4.1,,
,,,QAC,2843,,,
,,,QAC,2844,,,
,,,QAC,2845,Rule-21.18|Dir-4.1,,
,,,QAC,2846,Rule-21.18|Dir-4.1,,
,,,QAC,2847,Rule-21.18|Dir-4.1,,
,,,QAC,2848,,,
,,,QAC,2849,,,
,,,QAC,2930,Rule-18.1,,
,,,QAC,2931,Rule-18.1,,
,,,QAC,2932,Rule-18.1,,
,,,QAC,2933,,,
,,,QAC,2934,,,
,,,QAC,2935,Rule-21.17|Rule-21.18|Rule-1.3|Rule-18.1,,
,,,QAC,2936,Rule-21.17|Rule-21.18|Rule-18.1|Dir-4.1,,
,,,QAC,2937,Rule-21.17|Rule-21.18|Rule-18.1|Dir-4.1,,
,,,QAC,2938,,,
,,,QAC,2939,,,
,,,QAC,2950,,,
,,,QAC,2951,,,
,,,QAC,2952,,,
,,,QAC,2953,,,
CWE-121,,"787,788",QAC,2840,Rule-21.18|Rule-1.3|Rule-18.1,"ARR38-C,STR31-C",
,,,QAC,2841,Rule-21.18|Rule-18.1|Dir-4.1,,
,,,QAC,2842,Rule-21.18|Rule-18.1|Dir-4.1,,
,,,QAC,2843,,,
,,,QAC,2844,,,
,,,QAC,2845,Rule-21.18|Dir-4.1,,
,,,QAC,2846,Rule-21.18|Dir-4.1,,
,,,QAC,2847,Rule-21.18|Dir-4.1,,
,,,QAC,2848,,,
,,,QAC,2849,,,
,,,QAC,2930,Rule-18.1,,
,,,QAC,2931,Rule-18.1,,
,,,QAC,2932,Rule-18.1,,
,,,QAC,2933,,,
,,,QAC,2934,,,
,,,QAC,2935,Rule-21.17|Rule-21.18|Rule-1.3|Rule-18.1,,
,,,QAC,2936,Rule-21.17|Rule-21.18|Rule-18.1|Dir-4.1,,
,,,QAC,2937,Rule-21.17|Rule-21.18|Rule-18.1|Dir-4.1,,
,,,QAC,2938,,,
,,,QAC,2939,,,
,,,QAC,2950,,,
,,,QAC,2951,,,
,,,QAC,2952,,,
,,,QAC,2953,,,
CWE-122,,"787,788",QAC,2840,Rule-21.18|Rule-1.3|Rule-18.1,STR31-C,
